relError,absError,step,nbQuadptsTrimmedElems,nbQuadptsNonTrimmedElems,IntegrationTime_sec_
2.22044604925031e-15,2.22044604925031e-15,0,36,0,5.5763072
2.22044604925031e-15,2.22044604925031e-15,0.1,36,0,5.7459723
2.22044604925031e-15,2.22044604925031e-15,0.2,36,0,6.1041975
2.22044604925031e-15,2.22044604925031e-15,0.3,36,0,5.5381384
2.22044604925031e-15,2.22044604925031e-15,0.31,36,0,5.7371454
2.22044604925031e-15,2.22044604925031e-15,0.32,36,0,5.7368582
2.22044604925031e-15,2.22044604925031e-15,0.33,36,0,5.7578316
2.22044604925031e-15,2.22044604925031e-15,0.34,36,0,5.733592
2.22044604925031e-15,2.22044604925031e-15,0.35,36,0,5.7142225
2.22044604925031e-15,2.22044604925031e-15,0.36,36,0,5.8623766
2.22044604925031e-15,2.22044604925031e-15,0.37,36,0,6.0755381
2.22044604925031e-15,2.22044604925031e-15,0.38,36,0,5.1122239
2.22044604925031e-15,2.22044604925031e-15,0.39,36,0,4.9712281
2.22044604925031e-15,2.22044604925031e-15,0.399999,36,0,5.1705148
