relError,absError,step,nbQuadptsTrimmedElems,nbQuadptsNonTrimmedElems,IntegrationTime_sec_
2.22044604925031e-15,2.22044604925031e-15,0,9,0,0.0039679
2.22044604925031e-15,2.22044604925031e-15,0.1,9,0,0.0024077
2.22044604925031e-15,2.22044604925031e-15,0.2,9,0,0.0022609
2.22044604925031e-15,2.22044604925031e-15,0.3,9,0,0.0022669
2.22044604925031e-15,2.22044604925031e-15,0.31,9,0,0.0022712
2.22044604925031e-15,2.22044604925031e-15,0.32,9,0,0.0023211
2.22044604925031e-15,2.22044604925031e-15,0.33,9,0,0.0022821
2.22044604925031e-15,2.22044604925031e-15,0.34,9,0,0.0022817
2.22044604925031e-15,2.22044604925031e-15,0.35,9,0,0.0023028
2.22044604925031e-15,2.22044604925031e-15,0.36,9,0,0.0023123
2.22044604925031e-15,2.22044604925031e-15,0.37,9,0,0.0023641
2.22044604925031e-15,2.22044604925031e-15,0.38,9,0,0.0023261
2.22044604925031e-15,2.22044604925031e-15,0.39,9,0,0.002322
2.22044604925031e-15,2.22044604925031e-15,0.399999,9,0,0.002326
