relError,absError,step,nbQuadptsTrimmedElems,nbQuadptsNonTrimmedElems,IntegrationTime_sec_
2.22044604925031e-15,2.22044604925031e-15,0,100,0,0.0092499
2.22044604925031e-15,2.22044604925031e-15,0.1,100,0,0.0041429
2.22044604925031e-15,2.22044604925031e-15,0.2,100,0,0.0041766
2.22044604925031e-15,2.22044604925031e-15,0.3,100,0,0.0042387
2.22044604925031e-15,2.22044604925031e-15,0.31,100,0,0.0041865
2.22044604925031e-15,2.22044604925031e-15,0.32,100,0,0.0041846
2.22044604925031e-15,2.22044604925031e-15,0.33,100,0,0.0041423
2.22044604925031e-15,2.22044604925031e-15,0.34,100,0,0.00429
2.22044604925031e-15,2.22044604925031e-15,0.35,100,0,0.0041347
2.22044604925031e-15,2.22044604925031e-15,0.36,100,0,0.0040829
2.22044604925031e-15,2.22044604925031e-15,0.37,100,0,0.004144
2.22044604925031e-15,2.22044604925031e-15,0.38,100,0,0.0041566
2.22044604925031e-15,2.22044604925031e-15,0.39,100,0,0.0041803
2.22044604925031e-15,2.22044604925031e-15,0.399999,100,0,0.0041947
