relError,absError,step,nbQuadptsTrimmedElems,nbQuadptsNonTrimmedElems,IntegrationTime_sec_
0.000269414695349562,2.26577758788982e-05,0,810,0,0.3594286
2.22044604925031e-15,2.22044604925031e-15,0.04,619,0,0.3202848
0.000188261871847544,1.16724243164196e-05,0.041,619,0,0.3182985
0.000378059919121402,2.32521972656427e-05,0.042,619,0,0.3162755
0.00041904768974794,2.55656805038321e-05,0.043,619,0,0.317824
0.000230233189733068,1.39327917098864e-05,0.044,619,0,0.3172478
3.9859296678438e-05,2.39255428312324e-06,0.045,619,0,0.3146627
0.000152093385118978,9.05503177644346e-06,0.046,619,0,0.322199
0.000345644574316713,2.04099664688276e-05,0.047,619,0,0.3146383
0.000468049558424693,2.74108543395837e-05,0.048,619,0,0.3178256
8.97111557494224e-05,5.1674056326112e-06,0.049999,381,0,0.2560818
8.13785526493312e-05,4.68740463260148e-06,0.05,381,0,0.221738
7.30458453918482e-05,4.20740563263772e-06,0.050001,381,0,0.2465388
0.000759404382590465,6.15117549898278e-06,0.2,204,0,0.2940754
1,1.00000000005751e-12,0.289999,0,0,0.282916
