relError,absError,step,nbQuadptsTrimmedElems,nbQuadptsNonTrimmedElems,IntegrationTime_sec_
1e-15,1e-15,0,0,0,0.5611851
1e-15,1e-15,0.04,0,0,0.6226364
1e-15,1e-15,0.041,0,0,0.5583923
1e-15,1e-15,0.042,0,0,0.5200342
1e-15,1e-15,0.043,0,0,0.5681022
1e-15,1e-15,0.044,0,0,0.6526681
1e-15,1e-15,0.045,0,0,0.5265376
1e-15,1e-15,0.046,0,0,0.5491276
1e-15,1e-15,0.047,0,0,0.5388857
1e-15,1e-15,0.048,0,0,0.5827983
1e-15,1e-15,0.049999,0,0,0.544269
1e-15,1e-15,0.05,0,0,0.6064321
1e-15,1e-15,0.050001,0,0,0.6195646
1e-15,1e-15,0.2,0,0,0.5456844
1e-15,1e-15,0.289999,0,0,0.5451738
