relError,absError,step,nbQuadptsTrimmedElems,nbQuadptsNonTrimmedElems,IntegrationTime_sec_
1e-15,1e-15,0,36,54,0.10916
2.9892858082175e-06,3.69857398610507e-07,0.142799666072263,120,27,0.27704
1.23276322317806e-05,1.47853456346214e-06,0.285599332144527,117,27,0.290382
7.70924360161212e-05,8.76571830001061e-06,0.42839899821679,117,27,0.293573
3.02976955130285e-07,3.18600542337233e-08,0.571198664289053,117,18,0.299815
8.89348907327767e-07,8.40156322706731e-08,0.713998330361317,123,27,0.301509
1.55118920748977e-06,1.26976612863094e-07,0.85679799643358,102,9,0.298899
6.29642588639123e-05,4.25513104783393e-06,0.999597662505843,81,9,0.30107
3.26853667410555e-05,1.69724900621337e-06,1.14239732857811,72,0,0.292207
9.29871111816329e-06,3.27468707331247e-07,1.28519699465037,93,0,0.289391
0.000105744748032221,1.88113083930685e-06,1.42799666072263,54,0,0.290963
